2973370;Tarerach;Tarerach;"Tarerac,Tarerach";42.68964;2.5;P;PPL;FR;;A9;66;663;66201;42;;544;Europe/Paris;2012-01-18
2973378;Tardes;Tardes;"La Tardes Riviere,La Tardes Rivière,Tardes";46.23781;2.51406;H;STM;FR;;B1;;;;0;;301;Europe/Paris;2012-01-18
2973383;Pic de Tarbésou;Pic de Tarbesou;"Pic de Tarbesou,Pic de Tarbezou,Pic de Tarbésou";42.71283;1.96951;T;PK;FR;;B3;;;;0;;2255;Europe/Paris;2012-01-18
2973386;Puig de Taravaus;Puig de Taravaus;;42.42504;3.09806;T;PK;FR;"FR,ES";00;;;;0;697;667;Europe/Paris;2006-12-22
2973389;Taravo;Taravo;Taravo;41.71015;8.82615;H;STM;FR;;A5;;;;0;;39;Europe/Paris;2011-10-20
2973395;Collado de la Poterla;Collado de la Poterla;"Collado de la Poterla,Passage de Taradie,Puerto de la Poterla";42.83333;0.8;T;PASS;FR;ES;00;;;;0;;1616;Europe/Paris;2014-03-07
2973442;Passo di Tanarello;Passo di Tanarello;"Col Tanarello,Passo di Tanarello";44.08333;7.71667;T;PASS;FR;IT;00;;;;0;;2090;Europe/Paris;2014-03-07
2973453;Bois de la Tamarissière;Bois de la Tamarissiere;;43.28333;3.43333;V;FRST;FR;;A9;;;;0;;-9999;Europe/Paris;1994-01-06
2973472;Banc de Talmont;Banc de Talmont;;45.53333;-0.95;H;SHOL;FR;;B7;;;;0;;-9999;Europe/Paris;1994-01-06
2973503;Talavouron;Talavouron;;48.33333;-4.41667;P;PPL;FR;;A2;;;;0;;-9999;Europe/Paris;1994-01-06
2973504;Talau;Talau;Talau;42.5643;2.19557;P;PPL;FR;;A9;66;663;66010;0;;1316;Europe/Paris;2012-04-25
2973512;Banc de Talais;Banc de Talais;"Banc de Talais,Banc de Tallais";45.49655;-0.98092;H;SHOL;FR;;97;;;;0;;-9999;Europe/Paris;2012-01-18
2973534;Bois de Tailly;Bois de Tailly;;49.43333;5.1;V;FRST;FR;;A4;;;;0;;280;Europe/Paris;1994-01-06
2973543;Tellet;Tellet;"Taillet,Tellet";42.52707;2.67146;P;PPL;FR;;A9;66;661;66199;92;;584;Europe/Paris;2011-11-02
2973547;Pointe de Taillefer;Pointe de Taillefer;;47.36388;-3.15676;T;PT;FR;;A2;;;;0;;1;Europe/Paris;1994-01-06
2973548;Tallaferro;Tallaferro;Tallaferro;42.50071;3.06795;T;PK;FR;FR;A9;66;661;66053;0;508;476;Europe/Paris;2012-02-27
2973549;Bancs de Taillefer;Bancs de Taillefer;;47.39836;-3.11152;H;SHOL;FR;;A2;;;;0;;-9999;Europe/Paris;1994-01-06
2973557;Cap Taillat;Cap Taillat;"Cap Cartaya,Cap Taillat";43.16821;6.64602;T;CAPE;FR;;B8;;;;0;;30;Europe/Paris;2012-01-18
2973594;Écueil du Tabernacle;Ecueil du Tabernacle;;41.86667;8.6;T;RK;FR;;00;;;;0;;-9999;Europe/Paris;1994-01-06
2973634;Anse de Suscinio;Anse de Suscinio;"Anse de Succinio,Anse de Suscinio";47.50276;-2.72506;H;BAY;FR;;A2;;;;0;;1;Europe/Paris;2012-01-18
2973635;Pointe de Susac;Pointe de Susac;"Pointe de Susac,Pointe de Suzac";45.57805;-0.99274;T;PT;FR;;B7;;;;0;;13;Europe/Paris;2012-01-18
2973646;Pointe de la Croix;Pointe de la Croix;"Pointe Surville,Pointe de la Croix";47.63333;-3.41667;T;PT;FR;;A2;;;;0;;12;Europe/Paris;2012-01-18
2973647;Havre de Surville;Havre de Surville;;49.28257;-1.67175;H;HBR;FR;;99;;;;0;;8;Europe/Paris;2011-10-09
2973671;Pointe de Surgéres;Pointe de Surgeres;;45.95411;-1.10567;T;PT;FR;;B7;;;;0;;1;Europe/Paris;2011-10-09
2973737;Passe du Sud-Ouest;Passe du Sud-Ouest;;43;6.36667;H;CHNM;FR;;B8;;;;0;;-9999;Europe/Paris;1994-01-06
2973738;Passe Sud-Ouest;Passe Sud-Ouest;;50.2;1.48333;H;CHNM;FR;;B6;;;;0;;-9999;Europe/Paris;1994-01-06
2973741;Passe du Sud;Passe du Sud;"Passe Sud,Passe du Sud";47.67494;-3.37343;H;CHNM;FR;;A2;;;;0;;-9999;Europe/Paris;2012-01-18
